airport_icao,alternate ID,country,agency,service_type,lead_time_arrival_hours,lead_time_departure_hours,open_mon,open_tue,open_wed,open_thu,open_fri,open_sat,open_sun,after_hours_available,canpass_only,contacts,notes,source,entered
KBHM,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-14:30,CLOSED,CLOSED,TRUE,FALSE,(205) 592-0237,,MD,04Mar26
KBJC,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,(303) 271-4884,,MD,04Mar26
KCOS,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,303-472-9990,48 hours notice so officer can get approval,MD,28Oct25
KGTF,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,TRUE,FALSE,406-453-0861 ext 3,RSP program available,MD,04Mar26
KLBB,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,CLOSED,CLOSED,TRUE,FALSE,(806) 762-5739,,MD,04Mar26
KLIT,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,FALSE,FALSE,1 501-324-4898,,MD,04Mar26
KMAF,,US,CBP,US,48,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,CLOSED,CLOSED,FALSE,FALSE,432 560 2230,Covered by officer in KAMA,MD,04Mar26
KMHT,,US,CBP,US,5,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-14:00,CLOSED,CLOSED,TRUE,FALSE,603-836-0722 / 603-782-0146,,MD,06Nov25
KMSY,,US,CBP,US,5,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-14:30,CLOSED,CLOSED,TRUE,FALSE,504.303.7663 Ext 1,,MD,09Nov25
KNEW,,US,CBP,US,24,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-14:30,CLOSED,CLOSED,TRUE,FALSE,(504)303-7663 Ext. 1,Cleared by KMSY officers,MD,04Mar26
KMYR,,US,CBP,US,24,,09:00-18:00,CLOSED,CLOSED,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,TRUE,FALSE,843-916-0438,Clearance time valid +/- 20 mins,MD,05Mar26
KOKC,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,CLOSED,CLOSED,TRUE,FALSE,800-973-2867,,MD,05Mar26
KPQL,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,FALSE,FALSE,None provided,,MD,05Mar26
KRNO,,US,CBP,US,24,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,775-784-5585 opt 0,Will only clear Mon/Wed/Fri: 0800 - 1100 due to commercial/Atlantic Aviation has RSP we can use,MD,05Mar26
KSGF,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,CLOSED,CLOSED,TRUE,FALSE,417-868-0545 Alt # - 417-353-6745,,MD,26Oct25
KTUL,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-15:00,CLOSED,CLOSED,TRUE,FALSE,(918) 835-6202,,MD,05Mar26
KUGN,,US,CBP,US,5,,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-17:00,CLOSED,CLOSED,TRUE,FALSE,224-529-1468,,MD,05Mar26
KROG,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,(479)246-9472,,MD,05Mar26
KSGR,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,832-549-6781,,MD,05Mar26
KTTN,,US,CBP,US,5,,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,CLOSED,CLOSED,FALSE,FALSE,609-637-0470 - Cell: Officer Marriani - 215-852-2641,,MD,26Oct25
KBTM,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,TRUE,FALSE,406-449-5506,"Officer from KHLN, will only clear here occasionally if KBTM is final destination",MD,05Mar26
KGEG,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,509-353-2833,,MD,05Mar26
KPAE,,US,CBP,US,24,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,FALSE,FALSE,425-259-0246,,MD,05Mar26
KSTP,,US,CBP,US,24,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,CLOSED,CLOSED,TRUE,FALSE,612.727.3415-0 ,,MD,05Mar26
KSUS,,US,CBP,US,16,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,CLOSED,CLOSED,TRUE,FALSE,636-238-8953; 314.220.8761 (Port Director),,MD,26Oct25
KHLN,,US,CBP,US,24,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,FALSE,FALSE,406-449-5506,RSP Req for after hours,MD,05Mar26
KHIO,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,503-326-3409,By appointment only - handled by PDX.,MD,05Mar26
KPIE,,US,CBP,US,24,,11:30-19:30,11:30-19:30,11:30-19:30,11:30-19:30,11:30-19:30,CLOSED,CLOSED,TRUE,FALSE,(813) 676-4590,,MD,05Mar26
KTIW,,US,CBP,US,5,,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,CLOSED,CLOSED,FALSE,FALSE,253-896-8500,,MD,05Mar26
KDEN,,US,CBP,US,5,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,CLOSED,CLOSED,TRUE,FALSE,303 342 7400 ext. #4,,MD,03Nov25
KDPA,,US,CBP,US,5,,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-17:00,CLOSED,CLOSED,TRUE,FALSE,630-208-6490,,MD,05Mar26
KEYW,,US,CBP,US,5,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,CLOSED,CLOSED,FALSE,FALSE,305-296-0303,,MD,05Mar26
KFTW,,US,CBP,US,5,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,CLOSED,CLOSED,TRUE,FALSE,214-477-5660,,MD,05Mar26
KGON,,US,CBP,US,24,,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,CLOSED,CLOSED,FALSE,FALSE,203-773-2040,,MD,05Mar26
KSBD,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,909.382.7291,,MD,30Oct25
KVCV,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,760 243 1925,,MD,05Mar26
PAJN,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,TRUE,FALSE,907-586-7108,,MD,05Mar26
PHKO,,US,CBP,US,24,,08:00-14:00,08:00-14:00,08:00-14:00,08:00-14:00,08:00-12:00,CLOSED,CLOSED,TRUE,FALSE,(808) 327-3300,,MD,05Mar26
PHOG,,US,CBP,US,5,,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,CLOSED,CLOSED,TRUE,FALSE,(808) 877-6013 CBP Kahului Port Office,RSP Available,MD,03Nov25
KIWA,,US,CBP,US,24,,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,CLOSED,CLOSED,TRUE,FALSE,480-279-2928 / phxtradedivision@cbp.dhs.gov,,MD,28Oct25
KHRL,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,(956) 430-8622,,MD,05Mar26
KYIP,,US,CBP,US,5,,24H,24H,24H,24H,24H,CLOSED,CLOSED,TRUE,FALSE,734-485-6668,Weekend flights should make requests to Detroit Metro Airport to the following email address: 3807DTWServiceDesk@cbp.dhs.gov,MD,05Mar26
KANJ,,US,CBP,US,2,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,806-632-2631 #2,,MD,19Nov25
KAPA,,US,CBP,US,5,,07:00-15:00,07:00-15:00,14:00-22:00,14:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,TRUE,FALSE, 303 768 0309 or 303-472-2766 (Duty Officer),"Hours change monthly, these are OCT",MD,26Oct25
KART,,US,CBP,US,24,,06:00-17:00,06:00-17:00,06:00-17:00,06:00-17:00,06:00-17:00,06:00-17:00,06:00-17:00,TRUE,FALSE,315.482.2261 EXT 5,Seasonal Hours of Operation: Summer: 6 a.m. - 7 p.m. / Winter: 6 a.m. - 5 p.m. ,MD,05Mar26
KATL,,US,CBP,US,24,,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,05:00-22:00,TRUE,FALSE,404.765.2300,RSP available to use for AirSprint,MD,05Mar26
KAUS,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,TRUE,FALSE,512-530-3056,,MD,19Nov25
KBLI,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,TRUE,FALSE,360 734 5463,,MD,05Mar26
KBVS,,US,CBP,US,24,,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,09:00-15:00,TRUE,FALSE,360.757.0011,,MD,05Mar26
KCHS,,US,CBP,US,5,,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,FALSE,FALSE,843 552 2696 - 1601passengerops@cbp.dhs.gov,,MD,26Oct25
KCIU,,US,CBP,US,5,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,906.632.2631 #2,,MD,05Mar26
KCTB,,US,CBP,US,5,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,406-335-9628,,MD,05Mar26
KDLH,,US,CBP,US,5,,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,CLOSED,CLOSED,TRUE,FALSE,"218-720-5203, press ""1"" and ""#""",,MD,05Mar26
KDRT,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,TRUE,FALSE,(830) 306-4350,,MD,05Mar26
KELP,,US,CBP,US,5,,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,TRUE,FALSE,915 730 7890,,MD,05Mar26
KFAR,,US,CBP,US,5,,08:00-18:00,08:00-18:00,07:00-21:00,07:00-17:00,07:00-17:00,08:00-18:00,08:00-18:00,TRUE,FALSE,701-241-8124; 701-293-7334,,MD,26Oct25
KFOK,,US,CBP,US,24,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,FALSE,FALSE,631-753-2691,RSP required for afterhours,MD,05Mar26
KFPR,,US,CBP,US,5,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,TRUE,FALSE,772-461-1733 EXT. 1,,MD,09Nov25
KFRG,,US,CBP,US,24,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,FALSE,FALSE,631-753-2691,,MD,05Mar26
KFTY,,US,CBP,US,24,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,TRUE,FALSE,404-765-2300,Customs cleared through KATL - RSP available,MD,05Mar26
KGFK,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,TRUE,FALSE,701.772.3301,,MD,05Mar26
KGYY,,US,CBP,US,24,,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-16:00,CLOSED,CLOSED,TRUE,FALSE,773-948-6330,,MD,05Mar26
KHEF,,US,CBP,US,24,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,FALSE,FALSE,"703 - 661 - 2800 , option 2 ",Covered by KIAD officers,MD,05Mar26
KHOU,,US,CBP,US,5,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,713.640.7730,,MD,05Mar26
KHUL,,US,CBP,US,5,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,207-532-2131,,MD,05Mar26
KIAG,,US,CBP,US,5,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,716-632-4727,,MD,05Mar26
KILM,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,TRUE,FALSE,910.772.7921; 910.364.8660; (910) 772-5900,RSP Available,MD,06Nov25
KINL,,US,CBP,US,5,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,218-283-2541,,MD,19Nov25
KJFK,,US,CBP,US,5,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,631-753-2691,,MD,05Mar26
KLGA,,US,CBP,US,24,,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,TRUE,FALSE,631-753-2691,Clearance tolerance of +/- 60 minutes,MD,05Mar26
KLRD,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KLUK,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KMCI,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KMIA,,US,CBP,US,5,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,305.906.1506,Only clear within 24 hours,MD,06Nov25
KMKC,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KOAK,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KCLM,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KDET,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KMOB,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KBFM,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KHSV,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KNUQ,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KNYL,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KORF,,US,CBP,US,5,,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,TRUE,FALSE,757-533-4218,,MD,09Nov25
KPDK,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KPHL,,US,CBP,US,24,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,FALSE,FALSE,215 863 4200 - press option 1 or 215 863 4271 or 215 863 4272 ,,MD,03Nov25
KPQI,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KPSM,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KPWM,,US,CBP,US,24,,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,TRUE,FALSE,207-771-3620,,MD,09Nov25
KRST,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE, (507) 285-5278,,MD,28Oct25
KRYY,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KSAT,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KSDM,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KSEA,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KSFB,,US,CBP,US,5,,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,TRUE,FALSE,407-585-6400 opt. 5,,MD,09Nov25
KSFO,,US,CBP,US,24,,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,TRUE,FALSE,650-989-2501 // 650.742.4480 ext. 3,,MD,30Oct25
KSLC,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KTMB,,US,CBP,US,5,,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,TRUE,FALSE,305.969.1576,Landing rights requests will only be accepted 24hrs in advance.,MD,03Nov25
KTPA,,US,CBP,US,5,,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,TRUE,FALSE, (813) 676-4590,,MD,28Nov25
KVNY,,US,CBP,US,5,,09:00-20:30,15:00-23:00,15:00-23:00,09:00-20:30,09:00-14:30,09:00-14:30,09:00-20:30,FALSE,FALSE,,,MD,26Nov25
KXWA,,US,CBP,US,,,,,,,,,,,FALSE,,,,
PAFA,,US,CBP,US,,,,,,,,,,,FALSE,,,,
PAKT,,US,CBP,US,,,,,,,,,,,FALSE,,,,
PANC,,US,CBP,US,,,,,,,,,,,FALSE,,,,
PHNL,,US,CBP,US,,,,,,,,,,,FALSE,,,,
PHLI,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KAZO,,US,CBP,US,24,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,FALSE,FALSE, 269 965 3349,Can only process US/CAN citizens and US permanent residents,MD,12Nov25
KLAL,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KLEE,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KMTH,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KSGJ,,US,CBP,US,5,,12:00-22:00,CLOSED,CLOSED,12:00-22:00,12:00-22:00,12:00-22:00,12:00-22:00,TRUE,FALSE,(904) 209-0099 / SGJREQUEST@CBP.DHS.GOV,,MD,28Oct25
KSUA,,US,CBP,US,5,,11:00-19:00,CLOSED,CLOSED,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,TRUE,FALSE,772-210-0420,,MD,28Nov25
KOXC,,US,CBP,US,,,,,,,,,,,FALSE,,,,
PAWG,,US,CBP,US,,,,,,,,,,,FALSE,,,,
PAOM,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KVRB,,US,CBP,US,5,,11:00-19:00,CLOSED,CLOSED,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,TRUE,FALSE,(772) 494-6359,,MD,28Nov25
KSCH,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KDCU,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KOLM,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KPNE,,US,CBP,US,,,,,,,,,,,FALSE,,,,
KBDL,,US,CBP,US,5,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,CLOSED,CLOSED,FALSE,FALSE,860-292-1314,OT only with RSP (we do not have),MD,19Nov25
,,US,,,,,,,,,,,,,,,,,
