ICAO,IATA,FAA,Name,Served City,Country,Latitude,Longitude,Category,Rescue and Fire Airport,Deice Info,Deice Not Available
CYVD,,,Virden R.J. Andrew Field Regional,Virden,Canada,49.8782083,-100.9182111,AirSprint Inc.: B,,"NO CUSTOMS.
NO HANGER SPACE
NO DE-ICE/ANTI-ICE",No
CYVO,YVO,,Val-D'or,Val-d'Or,Canada,48.053333,-77.782778,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	PH: 819-874-7000
•	Type 1 & 4 available per email 1105679",No
CYVP,YVP,,Kuujjuaq,Kuujjuaq,Canada,58.094875,-68.4221722,AirSprint Inc.: A,,No Deice Mentions Found,
CYVQ,YVQ,,Norman Wells,Norman Wells,Canada,65.2813222,-126.7985694,AirSprint Inc.: A,,No Deice Mentions Found,
CYVR,YVR,,Vancouver International,Vancouver ,Canada,49.194722,-123.183889,AirSprint Inc.: A,A_10,"DEICE/ANTI-ICE: 

•	Type 1 and Type 4 Available - AeroMag Vancouver
•	PH: 604.278.1901 (At least 30 mins prior notice)
•	PH: 778-888-7881 (Airsprint has a signature account)
•	Location: East and West de-ice pads
AIRSPRINT TYPE 1 BOTTLES PROHIBITED FROM SPRAYING AT FBO, IF DE-ICE REQUIRED, MUST USE CDF",No
CYVV,YVV,,Wiarton,Wiarton,Canada,44.745833,-81.107222,AirSprint Inc.: A,,"DEICE/ANTI-ICE [23MAY24]:

•	No service",No
CYWG,YWG,,Winnipeg James Armstrong Richardson International,Winnipeg,Canada,49.9100111,-97.2400944,AirSprint Inc.: A,A_7,"DEICE/ANTI-ICE: 

•	Type 1 and Type 4 Available
•	Contact Phone: Swissport - 204.987.9436
•	To arrange: Fill out forms at FBO, then call 122.925 15 mins prior 
         to departure
•	Fees direct billed through FBO",No
CYWK,YWK,,Wabush Airport,Wabush,Canada,52.922725,-66.864675,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

PAL Aviation Services 
•	They can arrange de-ice services for us
•	PH: (709) 217-1314",No
CYWL,YWL,,Williams Lake,Williams Lake,Canada,52.1834028,-122.0543361,AirSprint Inc.: A,,No Deice Mentions Found,
CYXC,YXC,,Cranbrook Canadian Rockies,Cranbrook,Canada,49.6121194,-115.7820528,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

Southern Aero (Main Provider) : 
•	Services Available:  1 & 4 
•	Contact Phone: 250.432.5801
•	Hours 0500 – 1500 Day Shift, 1500 – 0130 Night Shift

Dakin Enterprise (WFS) - On call / Urgent Need Basis
•	Services Available: 1 and 4
•	Contact Phone: 250.489.1515
•	Payment: JAE Amex on File
•	The brand of type 4 anti ice fluid they use is called UCAR ENDURANCE EG 106",No
CYXE,YXE,,Saskatoon John G. Diefenbaker International,Saskatoon,Canada,52.1709611,-106.6999556,AirSprint Inc.: A,A_7,"DEICE/ANTI-ICE: Type 1 and 4 Available",No
CYXH,YXH,,Medicine Hat,Medicine Hat,Canada,50.0188944,-110.7206278,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Contact Chris at 403-894-8070
•	Type 1 and 4 available",No
CYXJ,YXJ,,Fort St. John,Fort St. John,Canada,56.2383778,-120.7402861,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Strategic Aviation Services [as per fbo they require 20 minutes notice]
•	250-329-7179 (supervisor) or alt phone 250-329-4167
-       Supervisor email: faisal.naitzineb@wearegat.net
•	Type 1- Dow Chemical ADF-XL-54 
•	Type 4- Dow Chemical AAF- Endurance 106
•	Aircraft will need to position adjacent FSS tower, west of terminal.


ALL aircraft parking at North Cariboo CYXJ facility:

•	As requested/directed by NPAS, absolutely NO DE-ICING at NCA ramp area. Only at designated area across from the CYXJ tower.
When necessary to de-ice an aircraft that has been parked during the day or overnight, the aircraft shall be directed to the approved de-icing location on the south west corner of the apron. All de-icing operations are to be performed at approved locations by NPAS Airport Authority.

•	If you should have any questions/concerns please contact:
North Peace Airport Services Managing Director/ Manager Operations & Emergency Services Stacy Smith, ssmith@yxj.ca 250-793-3115",No
CYXK,YXK,,Rimouski Aerodrome,Rimouski,Canada,48.4776944,-68.4963472,AirSprint Inc.: A,,No Deice Mentions Found,
CYXL,YXL,,Sioux Lookout,Sioux Lookout,Canada,50.1141667,-91.9055,AirSprint Inc.: A,,No Deice Mentions Found,
CYXR,YXR,,Earlton (Timiskaming Regional),Earlton,Canada,47.6949139,-79.8489556,AirSprint Inc.: A,,No Deice Mentions Found,
CYXS,YXS,,Prince George,Prince George,Canada,53.8840361,-122.6775528,AirSprint Inc.: A,,"DEICE/ANTI-ICE: 

•	AEROCONSOL 250-963-7345  FREQ 129.4
•	They come to the Esso with a de-ice truck, approx. $6/L Type 1, Type 4 is available, plus $195 base cost.",No
CYXT,YXT,,Terrace,Terrace,Canada,54.468611,-128.578333,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 & 4 available",No
CYXU,YXU,,London International,London,Canada,43.0330528,-81.151,AirSprint Inc.: A,A_5,"DEICE/ANTI-ICE: Type 1 and 4 available",No
CYXX,YXX,,Abbotsford ,Abbotsford,Canada,49.0252667,-122.3599556,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

Executive Aviation
•	Type 1 (UCARXL 54) and 4 (UCAR INDULGENCE) available
•	PH: Site office is 604-302-4929, Supervisor Duncan Lundy cell 778-548-3842
•	Ice man freq: 129.20 
•	Hours of operation: Closed between 0100-0300. After hours service available w/ 24h notice",No
CYXX-_DEL_,,,Abbotsford OUTDATED,OUTDATED,Canada,49.025278,-122.36,AirSprint Inc.: A,,"DEICE/ANTI ICE: 
Type 1 (UCAR XL 54) and 4 (UCAR INDULGENCE) available.
Executive Aviation.
Site office phone is 604-302-4929
Supervisor Duncan Lundy cell 778-548-3842.
Ice man Frq 129.20
Closed between 0100-0300. After hours service available w/ 24h notice.",No
CYXY,YXY,,Whitehorse - Erik Nielsen International,Whitehorse,Canada,60.709444,-135.067222,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Contact Air North 
•	Call FBO EXT 602. Can be available 24/7 with notice.
•	$125.00 for min 1 hour notice
•	Between hours of 0600L - 2300L 
•	Type 1 cost of $8.00/L.  Type 4 Available
•	867-456-8300, 867-668-2228 EXT 748 OR LAST RESORT 867-333-6474.  
•	Can make payment with Visa",No
CYXZ,YXZ,,Wawa,Wawa,Canada,47.9668583,-84.7863194,AirSprint Inc.: B,,No Deice Mentions Found,
CYYB,YYB,,North Bay, North Bay,Canada,46.363611,-79.422778,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	De-ice services provided by Mara-tech Aviation on main ramp
•	Hours: 0500L-0000L
•	1.705.472.8876
•	Application fee: $100
•	Callout charge afterhours: $100
•	Type 1: $7.50/L & Type 4: $8.50/L",No
CYYC,YYC,,Calgary International,Calgary,Canada,51.1226139,-114.0133472,AirSprint Inc.: A,A_9,"DEICE/ANTI ICE: 

•	Types 1 and 4 available

Use AirSprint Hangar Type 4 (Clariant MP IV Launch) as first choice:
•	If temperature is below -14, better hold over times exist using the CDF fluid (EG106), especially for light/moderate snowfall which is not usable with the hangar type 4 and very limited hold over times.

CDF option: 

•	Inland Technology (direct billing) - Location: Apron 10, enter taxiway YD. Call on the phone 403-604-9877, 15-30minutes prior to spray to setup deicing with call sign and registration.

•	Type 4 Fluid used is Endurance EG106
•	Inland PAD control VHF: 122.82
•	Main PH: 403 604 9877 
•	Afterhrs managar (Rich): 403 463 1035
•	Email yycdeiceops@idsllc.aero email or ops line 403-604-9877",No
CYYD,YYD,,Smithers,Smithers,Canada,54.825278,-127.182778,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	De-icing is done by people who de-ice CMA Dennis Mackay 250-877-1084 only 10 mins from airport he will invoice us. 
•	$200.00 application fee, Type I $6.50/L.",No
CYYE,YYE,,Fort Nelson,Fort Nelson,Canada,58.8364,-122.596975,AirSprint Inc.: A,,No Deice Mentions Found,
CYYF,YYF,,Penticton,Penticton,Canada,49.463056,-119.602222,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 & 4 Available 
•	Strategic Aviation Services
•	Contact: Chase 250-462-4938
•	Alternate phone: 250-462-6688
•	Hours: 0430L - 0630L & 0830L - 1330L 
•	They should be there during the day, but they like to have as much notice as possible if not during the above hours.
•	Charge to AirSprint account.",No
CYYG,YYG,,Charlottetown,Charlottetown,Canada,46.2891528,-63.11925,AirSprint Inc.: A,,No Deice Mentions Found,
CYYJ,YYJ,,Victoria International,Victoria,Canada,48.648058,-123.427443,AirSprint Inc.: A,A_6,"DEICE/ANTI-ICE: 

Air Canada
•	Type 1 Available, Type 4 (Call for availability)
•	PH: 250 656 0764",No
CYYL,YYL,,Lynn Lake,Lynn Lake,Canada,56.8643889,-101.0761056,AirSprint Inc.: A,,No Deice Mentions Found,
CYYN,YYN,,Swift Current,Swift Current,Canada,50.2925167,-107.6908861,AirSprint Inc.: B,,"DEICE/ANTI-ICE:

•	Not available",Yes
CYYQ,YYQ,,Churchill,Churchill,Canada,58.7390583,-94.0663722,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Services Available: Arranged with Calm Air
•	Not available 7 days a week, now only available 4
•	Please attempt to prearrange for each flight in winter months",Yes
CYYR,YYR,,CFB Goose Bay,Goose Bay,Canada,53.3191667,-60.4258333,AirSprint Inc.: A,A_8,"DEICE/ANTI-ICE:

•	Type I and Type IV available 24 hours, prior notice required
•	17MAR17  current posted price:
•	•	Type 1 = $7.00/L
•	•	Type 4 = $13.00/L",No
CYYT,YYT,,St. John's International,St John's,Canada,47.6186194,-52.7524194,AirSprint Inc.: A,A_7,"DEICE/ANTI-ICE:

•	Type 1 & 4 available",No
CYYY,YYY,,Mont-Joli,Mont-Joli,Canada,48.609025,-68.2075889,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type I and IV provided by AvJet 418-775-4020 - 10NOV18
•	Secondary option - Type I Only - Pascan Aviation -  418-775-7748  (Main Contact - Guy Thilbaut)",No
CYYZ,YYZ,,Lester B Pearson International,Toronto ,Canada,43.677222,-79.630556,AirSprint Inc.: A,A_9,"DE-ICE/ANTI-ICE

Type IV hangar anti-ice available through Execaire. 


Company: Apron Fuel Services
Type(s) Available: Type I & IV
Brand: DOW UCAR Concentrate / EUCAR Endurance EG106
UNICOM: 122.07
Phone: 416-250-8370 (no call necessary)
Email: info@apronfuelservices.com
Payment: AMEX on file",No
CYZE,YZE,,Gore Bay-Manitoulin,Gore Bay,Canada,45.8842333,-82.5682806,AirSprint Inc.: A,,No Deice Mentions Found,
CYZF,YZF,,Yellowknife,Yellowknife ,Canada,62.4630361,-114.4404,AirSprint Inc.: A,A_6,"DEICE/ANTI-ICE:

Strategic Aviation
•	(867) 766-2090
•	On AirSprint Account
•	Type 1- Dow Chemical ADF-XL-54
•	Type 4- Dow Chemical AAF- Endurance 106

•	FIRST AIR FOR DE-ICING APPARENTLY THEY ARE THE ONLY PEOPLE ON THE FIELD WHO WILL DO TRANSIENT AIRCRAFT.  TRY TO CALL AHEAD SOMETIMES THEY GET LOW ON FLUID AND WILL NOT DE-ICE OTHER AIRCRAFT ONLY THEIR OWN, AS WELL COULD HAVE TO WAIT AS THEY DE-ICE THERE OWN AIRCRAFT FIRST.  867-444-1668, 867-669-6672, RADIO 133.45 VISA WORKS BEST FOR PAYMENT.  TYPE 1 ONLY $5.00/L, AND A COUPLE HUNDRED DOLLARS FOR EQUIPMENT.  MAIN RAMP.",No
CYZH,YZH,,Slave Lake,Slave Lake,Canada,55.2929222,-114.7772083,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
CYZP,YZP,,Sandspit,Sandspit,Canada,53.254167,-131.813889,AirSprint Inc.: A,,No Deice Mentions Found,
CYZR,YZR,,Sarnia Chris Hadfield,Sarnia,Canada,42.999444,-82.308889,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type I deicing services available
•	Huron Aviation will apply on the Main Terminal ramp",No
CYZT,YZT,,Port Hardy,Port Hardy,Canada,50.680556,-127.366667,AirSprint Inc.: A,,No Deice Mentions Found,
CYZU,YZU,,Whitecourt,Whitecourt,Canada,54.1438472,-115.7867667,AirSprint Inc.: A,,No Deice Mentions Found,
CYZV,YZV,,Sept-Îles,Sept-Îles,Canada,50.2233861,-66.2656917,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Types I & IV available at FBO",No
CZAM,YSN,,Salmon Arm, Salmon Arm,Canada,50.6825333,-119.228625,AirSprint Inc.: B,,"DE-ICE/ANTI-ICE: 

•	Not Available",Yes
CZBA,,,Burlington Executive ,Burlington ,Canada,43.4414667,-79.8502194,AirSprint Inc.: P,,No Deice Mentions Found,
CZBB,YDT,,Vancouver - Boundary Bay,Delta,Canada,49.074167,-123.0075,AirSprint Inc.: A,,No Deice Mentions Found,
CZBF,ZBF,,Bathurst,Bathurst,Canada,47.6296111,-65.7389583,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Services Available
•	Completed on the main terminal ramp
•	Type 1 & 3 available",No
CZBM,ZBM,,Roland-Désourdy,Bromont,Canada,45.2909333,-72.741975,AirSprint Inc.: A,,"DEICE/ANTI ICE:

•	Not available - confirmed on 22OCT24, helpscout email 1438468",Yes
CZGF,ZGF,,Grand Forks,Grand Forks,Canada,49.015625,-118.4304611,AirSprint Inc.: B,,"DEICE/ANTI-ICE:

•	Not available",Yes
CZJN,ZJN,,Swan River,Swan River,Canada,52.1214944,-101.2344306,AirSprint Inc.: B,,"DEICE/ANTI-ICE:

•	Not available",Yes
CZML,ZMH,,South Cariboo Regional,108 Mile Ranch,Canada,51.7366,-121.3328889,AirSprint Inc.: A,,No Deice Mentions Found,
CZMT,ZMT,,Masset,Masset,Canada,54.027222,-132.125,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
CZVL,,,Edmonton Villeneuve,Villeneuve,Canada,53.6682417,-113.8522639,AirSprint Inc.: A,A_1,"DEICE/ANTI-ICE:

•	Not available",Yes
XXXXnull,,,Bella Bella (Campbel,Bella Bella,Canada,52.185125,-128.1567917,AirSprint Inc.: C,,Error: 422 Client Error:  for url: https://app.fl3xx.us/api/external/airports/XXXXNULL/operationalNotes?from=2025-11-12&to=2025-11-12,
,,,Thetford Mines,Thetford Mines,Canada,46.0522222,-71.2575,AirSprint Inc.: A,,No Code Provided,
,,,Fox Harbour,Tatamagouche,Canada,45.870132,-63.461209,AirSprint Inc.: A,,No Code Provided,
,,,Valemount,Valemount,Canada,52.8533333,-119.3344444,AirSprint Inc.: B,,No Code Provided,
,,,Du Rocher-Percé Pabok,Grande-Rivière,Canada,48.3838889,-64.5627778,AirSprint Inc.: A,,No Code Provided,
,YJP,,Jasper Hinton,Hinton,Canada,53.319199,-117.752998,AirSprint Inc.: B,,"DE-ICE/ANTI-ICE:

- NOT AVAILABLE",Yes
,,,Deloraine,Deloraine,Canada,49.1505556,-100.5005556,AirSprint Inc.: B,,No Code Provided,
,CFQ,,Creston,Creston,Canada,49.0369444,-116.4983333,AirSprint Inc.: B,,"DEICE/ANTI-ICE:

•	Services Available/NOT AVAILABLE: 
•	Contact Phone:
•	Fees:",Yes
,CFM,,Conklin Leismer,,Canada,55.695918,-111.2785848,AirSprint Inc.: A,,No Deice Mentions Found,
,,,Lake Simcoe Regional,Barrie-Orillia,Canada,44.485278,-79.555556,AirSprint Inc.: A,,No Code Provided,
,,,Florenceville,Florenceville,Canada,46.4261111,-67.6280556,AirSprint Inc.: A,,No Code Provided,
,YDC,,Drayton Valley Industrial,Drayton Valley,Canada,53.2658333,-114.9602778,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

NOT AVAILABLE",Yes
,,,Collingwood Regional,Collingwood,Canada,44.4495,-80.1591667,AirSprint Inc.: A,,No Code Provided,
,,,Russell,Russell,Canada,50.7641667,-101.2941667,AirSprint Inc.: B,,No Code Provided,
,,,Arnprior,Arnprior,Canada,45.4138889,-76.3658333,AirSprint Inc.: B,,No Code Provided,
,XBR,,Brockville Regional Tackaberry,Brockville,Canada,44.6394444,-75.7502778,AirSprint Inc.: B,,"DEICE/ANTI-ICE:

•	Not available",Yes
,SSQ,,La Sarre,La Sarre,Canada,48.9166667,-79.1791667,AirSprint Inc.: A,,No Deice Mentions Found,
,YAA,,Anahim Lake,Anahim Lake,Canada,52.4522222,-125.3044444,AirSprint Inc.: A,,Error: Expecting value: line 1 column 1 (char 0),
,,,Provost ,Provost,Canada,52.3338889,-110.2683333,AirSprint Inc.: A,,No Code Provided,
,,,Edmonton - Josephburg,Edmonton,Canada,53.727998,-113.086567,AirSprint Inc.: B,,No Code Provided,
,,,Camrose,Camrose ,Canada,53.0397222,-112.8161111,AirSprint Inc.: B,,No Code Provided,
,,,Drummondville,Drummondville,Canada,45.8458333,-72.395,AirSprint Inc.: A,,No Code Provided,
,YPB,,Alberni Valley Regional,Port Alberni,Canada,49.3219444,-124.9311111,AirSprint Inc.: B,,No Deice Mentions Found,
,,,Mont-Laurier,Mont-Laurier,Canada,46.5647222,-75.5761111,AirSprint Inc.: B,,No Code Provided,
,,,Manning,Manning,Canada,56.9508333,-117.6441667,AirSprint Inc.: A,,No Code Provided,
,YPD,,Parry Sound Area Municipal,Parry Sound,Canada,45.2575,-79.8297222,AirSprint Inc.: B,,"DEICE/ANTI-ICE: 

•	Not available",Yes
,,,Vanderhoof,Vanderhoof,Canada,54.0466667,-124.0111667,AirSprint Inc.: A,,No Code Provided,
,,,La Crete (Jake Fehr Memorial),Alberta,Canada,58.1772222,-116.3347222,AirSprint Inc.: B,,No Code Provided,
,,,Victoriaville André Fortin,Victoriaville,Canada,46.1125,-71.9294444,AirSprint Inc.: A,,No Code Provided,
KAAO,,AAO,Colonel James Jabara,Wichita,United States,37.747574,-97.221118,AirSprint Inc.: A,,No Deice Mentions Found,
KABE,ABE,ABE,Lehigh Valley International,Allentown,United States,40.652363,-75.440406,AirSprint Inc.: A,A_7,No Deice Mentions Found,
KABQ,ABQ,ABQ,Albuquerque International Sunport,Albuquerque,United States,35.0389306,-106.6082611,AirSprint Inc.: A,,No Deice Mentions Found,
KACK,ACK,ACK,Nantucket Memorial,Nantucket,United States,41.253299,-70.060512,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type I deicing services available
•	Ramp personnel will direct to deicing location
•	PH: 508.325.7569",No
KACY,ACY,ACY,Atlantic City International,Atlantic City,United States,39.457583,-74.577167,AirSprint Inc.: A,A_7,"DEICE/ANTI-ICE:

•	Type 1 and 4 Available - Contact FBO for more information",No
KADS,ADS,ADS,Addison,Dallas,United States,32.968556,-96.836444,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
KAFK,,AFK,Nebraska City Municipal,Nebraska City,United States,40.606528,-95.866667,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
KAGC,AGC,AGC,Allegheny County,Pittsburgh,United States,40.354438,-79.929047,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type I & IV available at Corporate Air",No
KAGS,AGS,AGS,Augusta Regional At Bush Field,Augusta,United States,33.369944,-81.9645,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 Only",No
KAHN,AHN,AHN,Athens - Ben Epps,Athens,United States,33.94864,-83.325914,AirSprint Inc.: A,,No Deice Mentions Found,
KAIK,AIK,AIK,Aiken Regional,Aiken,United States,33.649389,-81.685028,AirSprint Inc.: A,,"DEICE/ANTI-ICE: 

•	No Services Available",No
KAIZ,AIZ,AIZ,Lee C. Fine Memorial,Kaiser/lake Ozark,United States,38.096028,-92.549472,AirSprint Inc.: A,,No Deice Mentions Found,
KALB,ALB,ALB,Albany International,Albany,United States,42.749116,-73.80198,AirSprint Inc.: A,A_7,"DEICE/ANTI-ICE:

•	Type I & IV available",No
KALN,ALN,ALN,St Louis Regional,Alton/st Louis,United States,38.889917,-90.046,AirSprint Inc.: A,,No Deice Mentions Found,
KALX,ALX,ALX,Thomas C Russell Field,Alexander City,United States,32.91475,-85.962944,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
KAMA,AMA,AMA,Rick Husband Amarillo International,Amarillo,United States,35.219361,-101.705917,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Services available at FBO",No
KAMW,AMW,AMW,Ames Municipal,Ames,United States,41.992044,-93.621821,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Available as per website - request more information from FBO.",No
KANE,,ANE,Anoka County - Blaine (Janes Field),Minneapolis,United States,45.144889,-93.210194,AirSprint Inc.: A,,No Deice Mentions Found,
KANJ,,ANJ,Sault Ste Marie Municipal - Sanderson Field,Sault Ste Marie,United States,46.479222,-84.368389,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Types I available only - at FBO , (no type 4 confirmed SEP 25)
Closest airport with Type 4 is across the border at CYAM",No
KAOH,AOH,AOH,Lima Allen County,Lima,United States,40.707478,-84.027078,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 & 4 available at FBO",No
KAOO,AOO,AOO,Altoona - Blair County,Altoona,United States,40.296361,-78.320028,AirSprint Inc.: A,,Error: 'NoneType' object has no attribute 'upper',
KAPA,APA,APA,Centennial,Denver,United States,39.570119,-104.849293,AirSprint Inc.: A,,No Deice Mentions Found,
KAPC,APC,APC,Napa County,Napa,United States,38.213189,-122.280687,AirSprint Inc.: A,,No Deice Mentions Found,
KAPF,APF,APF,Naples Municipal,Naples,United States,26.152441,-81.775639,AirSprint Inc.: A,A_3,"DEICE/ANTI-ICE:

•	Not available",Yes
KART,ART,ART,Watertown International,Watertown,United States,43.991833,-76.019417,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 & 4 available thru FBO
•	Give as much notice as possible if de-ice suspected, will need to call in extra staff if afterhrs or on Sunday",No
KASE,ASE,ASE,Aspen-Pitkin County - Sardy Field,Aspen,United States,39.221878,-106.868233,AirSprint Inc.: C,A_6,No Deice Mentions Found,
KASH,ASH,ASH,Nashua,Nashua,United States,42.782414,-71.514094,AirSprint Inc.: A,,No Deice Mentions Found,
KASN,ASN,ASN,Talladega Municipal,Talladega,United States,33.569504,-86.051201,AirSprint Inc.: A,,No Deice Mentions Found,
KATL,ATL,ATL,Hartsfield - Jackson Atlanta International,Atlanta,United States,33.6367,-84.427864,AirSprint Inc.: A,A_10,"DEICE/ANTI-ICE:

•	Services not available",Yes
KATS,ATS,ATS,Artesia Municipal,Artesia,United States,32.8516111,-104.4671111,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	No Deicing services available",No
KATW,ATW,ATW,Appleton International,Appleton,United States,44.258093,-88.519072,AirSprint Inc.: A,A_6,"DEICE/ANTI-ICE [10JUN24]:

•	Types I & IV available at FBO",No
KAUG,AUG,AUG,Augusta State,Augusta,United States,44.320687,-69.797309,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

Maine Instrument Flight - FBO
•	Type 1 available",No
KAUS,AUS,AUS,Austin-Bergstrom International,Austin,United States,30.194527,-97.669876,AirSprint Inc.: A,A_8,"DEICE/ANTI-ICE

•	Not available",Yes
KAUW,AUW,AUW,Wausau Downtown,Wausau,United States,44.926285,-89.627002,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Services available at FBO",No
KAVL,AVL,AVL,Asheville Regional,Asheville,United States,35.436113,-82.542048,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
KAVP,AVP,AVP,Wilkes-Barre - Scranton International,Wilkes-Barre/scranton,United States,41.338472,-75.723389,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
KAVQ,AVW,AVQ,Marana Regional,Marana,United States,32.409556,-111.218389,AirSprint Inc.: A,,No Deice Mentions Found,
KAWM,AWM,AWM,West Memphis Municipal,West Memphis,United States,35.135056,-90.234444,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
KAZO,AZO,AZO,Kalamazoo - Battle Creek International,Kalamazoo,United States,42.234389,-85.551556,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	De-Ice Type 1 & Type 4 Available",No
KBAZ,,BAZ,New Braunfels National,New Braunfels,United States,29.70575,-98.043222,AirSprint Inc.: A,,No Deice Mentions Found,
KBBG,BKG,BBG,Branson,Branson,United States,36.532082,-93.200544,AirSprint Inc.: A,,"DEICE/ANTI-ICE: 

•	Types I & IV available at FBO",No
KBCT,BCT,BCT,Boca Raton,Boca Raton,United States,26.378486,-80.107696,AirSprint Inc.: A,,No Deice Mentions Found,
KBDH,ILL,BDH,Willmar Municipal - John L Rice Field,Willmar,United States,45.117028,-95.129333,AirSprint Inc.: A,,No Deice Mentions Found,
KBDL,BDL,BDL,Bradley International,Windsor Locks,United States,41.939032,-72.684316,AirSprint Inc.: A,A_8,"DEICE/ANTI-ICE:

•	Type 1 and 4 Available - Call FBO for more information",No
KBDN,,BDN,Bend Municipal ,Bend,United States,44.0945556,-121.2002222,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Available at FBO",No
KBDR,BDR,BDR,Bridgeport - Sikorsky,Bridgeport,United States,41.163481,-73.126176,AirSprint Inc.: A,,Error: Expecting value: line 1 column 1 (char 0),
KBED,BED,BED,Laurence G Hanscom Field,Bedford,United States,42.469944,-71.289,AirSprint Inc.: A,A_6,"DEICE/ANTI-ICE:

•	Type 1 and 4 Available - Call FBO for more details",No
KBFD,BFD,BFD,Bradford Regional,Bradford,United States,41.802954,-78.639966,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

The Bradford Regional Airport - FBO
•	Type 1 - Available",No
KBFF,BFF,BFF,Western Nebraska Regional - William B Heilig Field,Scottsbluff,United States,41.874028,-103.595639,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 only available at FBO",No
KBFI,BFI,BFI,Boeing Field - King County International,Seattle,United States,47.529972,-122.301944,AirSprint Inc.: A,A_5,"DEICE/ANTI ICE: 

•	Only Type 1 Available - Contact FBO for more information",No
KBFL,BFL,BFL,Meadows Field,Bakersfield,United States,35.433861,-119.057667,AirSprint Inc.: A,,No Deice Mentions Found,
KBFM,BFM,BFM,Mobile International,Mobile,United States,30.626781,-88.068091,AirSprint Inc.: A,,"DEICE/ANTI ICE [06MAY24]: 

•	Not available",Yes
KBGM,BGM,BGM,Greater Binghamton - Edwin A Link Field,Binghamton,United States,42.208444,-75.979611,AirSprint Inc.: A,,No Deice Mentions Found,
KBGR,BGR,BGR,Bangor International,Bangor,United States,44.807444,-68.828139,AirSprint Inc.: A,A_6,"DE-ICE/ANTI-ICE [03JUN24]:

•	Contact FBO
•	Type I & IV available 24/7",No
KBHM,BHM,BHM,Birmingham-Shuttlesworth International,Birmingham,United States,33.563889,-86.752306,AirSprint Inc.: A,,No Deice Mentions Found,
KBIL,BIL,BIL,Billings Logan International,Billings,United States,45.807849,-108.543544,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Deice service available 
•	Type 1 de-ice available - $15.00 per Gallon (no Type 4) 
•	Contact front desk for de-icing services",No
KBIS,BIS,BIS,Bismarck Municipal,Bismarck,United States,46.772734,-100.745738,AirSprint Inc.: A,A_4,"DEICE/ANTI-ICE:

•	Available at FBO",No
KBJC,BJC,BJC,Rocky Mountain Metro,Denver,United States,39.908806,-105.117194,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 & 4 available",No
KBJI,BJI,BJI,Bemidji Regional,Bemidji,United States,47.510722,-94.934722,AirSprint Inc.: A,,No Deice Mentions Found,
KBKL,BKL,BKL,Burke Lakefront,Cleveland,United States,41.517861,-81.682639,AirSprint Inc.: A,A_4,"DEICE/ANTI-ICE:

•	Type I & IV available at FBO",No
